Enable succeeded: 
[stdout]

2026/07/01 10:03:51.853, 25.75, 0, 15191, 42
2026/07/01 10:03:52.876, 25.75, 0, 15191, 42
2026/07/01 10:03:53.901, 25.75, 0, 15191, 42
2026/07/01 10:03:54.925, 25.75, 0, 15191, 42
2026/07/01 10:03:55.949, 25.75, 0, 15191, 42
2026/07/01 10:03:56.972, 25.75, 0, 15191, 42
2026/07/01 10:03:57.996, 25.86, 0, 15191, 42
2026/07/01 10:03:59.020, 25.75, 0, 15191, 42
2026/07/01 10:04:00.046, 25.95, 0, 15191, 42
2026/07/01 10:04:01.071, 25.75, 0, 15191, 42
2026/07/01 10:04:02.095, 25.75, 0, 15191, 42
2026/07/01 10:04:03.120, 25.85, 0, 15191, 42
2026/07/01 10:04:04.144, 25.75, 0, 15191, 42
2026/07/01 10:04:05.168, 25.75, 0, 15191, 42
2026/07/01 10:04:06.192, 25.77, 0, 15191, 42
2026/07/01 10:04:07.216, 25.85, 0, 15191, 42
2026/07/01 10:04:08.240, 25.85, 0, 15191, 42
2026/07/01 10:04:09.264, 25.85, 0, 15191, 42
2026/07/01 10:04:10.289, 25.75, 0, 15191, 42
2026/07/01 10:04:11.313, 25.75, 0, 15191, 43
2026/07/01 10:04:12.337, 25.85, 0, 15191, 42
2026/07/01 10:04:13.361, 25.75, 0, 15191, 42
2026/07/01 10:04:14.385, 25.85, 0, 15191, 43
2026/07/01 10:04:15.410, 25.85, 0, 15191, 43
2026/07/01 10:04:16.436, 25.85, 0, 15191, 43
2026/07/01 10:04:17.460, 25.85, 0, 15191, 43
2026/07/01 10:04:18.484, 25.85, 0, 15191, 43
2026/07/01 10:04:19.508, 25.75, 0, 15191, 43
2026/07/01 10:04:20.532, 25.85, 0, 15191, 42
2026/07/01 10:04:21.556, 25.85, 0, 15191, 43
2026/07/01 10:04:22.581, 25.85, 0, 15191, 43
2026/07/01 10:04:23.605, 25.85, 0, 15191, 43
2026/07/01 10:04:24.629, 25.85, 0, 15191, 43
2026/07/01 10:04:25.653, 25.85, 0, 15191, 43
2026/07/01 10:04:26.678, 25.85, 0, 15191, 43
2026/07/01 10:04:27.702, 25.85, 0, 15191, 43
2026/07/01 10:04:28.726, 25.85, 0, 15191, 43
2026/07/01 10:04:29.752, 25.85, 0, 15191, 43
2026/07/01 10:04:30.776, 25.85, 0, 15191, 43
2026/07/01 10:04:31.800, 25.85, 0, 15191, 43
2026/07/01 10:04:32.826, 25.85, 0, 15191, 42
2026/07/01 10:04:33.850, 25.85, 0, 15191, 43
2026/07/01 10:04:34.875, 25.85, 0, 15191, 42
2026/07/01 10:04:35.899, 25.85, 0, 15191, 43
2026/07/01 10:04:36.923, 25.85, 0, 15191, 42
2026/07/01 10:04:37.947, 25.85, 0, 15191, 43
2026/07/01 10:04:38.972, 25.85, 0, 15191, 42
2026/07/01 10:04:39.996, 25.85, 0, 15191, 43
2026/07/01 10:04:41.020, 25.85, 0, 15191, 42
2026/07/01 10:04:42.045, 25.85, 0, 15191, 43
2026/07/01 10:04:43.069, 25.85, 0, 15191, 43
2026/07/01 10:04:44.095, 25.85, 0, 15191, 43
2026/07/01 10:04:45.119, 25.85, 0, 15191, 43
2026/07/01 10:04:46.143, 25.85, 0, 15191, 42
2026/07/01 10:04:47.168, 25.95, 0, 15191, 43
2026/07/01 10:04:48.193, 25.85, 0, 15191, 42
2026/07/01 10:04:49.217, 25.85, 0, 15191, 43
2026/07/01 10:04:50.241, 25.85, 0, 15191, 43
2026/07/01 10:04:51.265, 25.85, 0, 15191, 43
2026/07/01 10:04:52.289, 25.95, 0, 15191, 43
2026/07/01 10:04:53.314, 25.85, 0, 15191, 43
2026/07/01 10:04:54.338, 25.85, 0, 15191, 43
2026/07/01 10:04:55.362, 25.85, 0, 15191, 43
2026/07/01 10:04:56.387, 25.85, 0, 15191, 43
2026/07/01 10:04:57.411, 25.85, 0, 15191, 43
2026/07/01 10:04:58.435, 25.85, 0, 15191, 43
2026/07/01 10:04:59.459, 25.75, 0, 15191, 43
2026/07/01 10:05:00.483, 25.85, 0, 15191, 43
2026/07/01 10:05:01.507, 25.75, 0, 15191, 43
2026/07/01 10:05:02.531, 25.85, 0, 15191, 43
2026/07/01 10:05:03.555, 25.85, 0, 15191, 43
2026/07/01 10:05:04.579, 25.75, 0, 15191, 43
2026/07/01 10:05:05.604, 25.75, 0, 15191, 43
2026/07/01 10:05:06.628, 25.85, 0, 15191, 43
2026/07/01 10:05:07.653, 25.85, 0, 15191, 43
2026/07/01 10:05:08.677, 25.85, 0, 15191, 43
2026/07/01 10:05:09.701, 25.85, 0, 15191, 43
2026/07/01 10:05:10.725, 25.85, 0, 15191, 43
2026/07/01 10:05:11.749, 25.85, 0, 15191, 43
2026/07/01 10:05:12.773, 25.85, 0, 15191, 43
2026/07/01 10:05:13.797, 25.85, 0, 15191, 43
2026/07/01 10:05:14.821, 25.85, 0, 15191, 43
2026/07/01 10:05:15.846, 25.85, 0, 15191, 43
2026/07/01 10:05:16.870, 25.85, 0, 15191, 43
2026/07/01 10:05:17.894, 25.85, 0, 15191, 43
2026/07/01 10:05:18.918, 25.85, 0, 15191, 43
2026/07/01 10:05:19.942, 25.85, 0, 15191, 43
2026/07/01 10:05:20.966, 25.85, 0, 15191, 43
2026/07/01 10:05:21.990, 25.85, 0, 15191, 43
2026/07/01 10:05:23.015, 25.85, 0, 15191, 43
2026/07/01 10:05:24.042, 25.85, 0, 15191, 43

[stderr]

