timestamp,power_draw_W,gpu_util_pct,mem_used_MiB,temperature_C
2026/07/28 10:22:21.956, 44.46, 0, 0, 32
2026/07/28 10:22:22.985, 44.70, 0, 0, 32
2026/07/28 10:22:24.011, 44.65, 0, 0, 32
2026/07/28 10:22:25.038, 44.17, 0, 0, 32
2026/07/28 10:22:26.065, 44.61, 0, 0, 32
2026/07/28 10:22:27.092, 44.45, 0, 0, 32
2026/07/28 10:22:28.119, 44.67, 0, 0, 32
2026/07/28 10:22:29.146, 44.58, 0, 0, 32
2026/07/28 10:22:30.173, 44.67, 0, 0, 32
2026/07/28 10:22:31.202, 44.19, 0, 0, 32
2026/07/28 10:22:32.229, 44.22, 0, 0, 32
2026/07/28 10:22:33.256, 44.84, 0, 0, 32
2026/07/28 10:22:34.283, 44.64, 0, 0, 32
2026/07/28 10:22:35.309, 44.73, 0, 0, 32
2026/07/28 10:22:36.335, 44.07, 0, 0, 32
2026/07/28 10:22:37.365, 44.82, 0, 0, 32
2026/07/28 10:22:38.392, 44.23, 0, 0, 32
2026/07/28 10:22:39.419, 44.54, 0, 0, 32
2026/07/28 10:22:40.446, 44.66, 0, 0, 32
2026/07/28 10:22:41.472, 44.79, 0, 0, 32
2026/07/28 10:22:42.499, 44.35, 0, 0, 32
2026/07/28 10:22:43.526, 44.92, 0, 0, 32
2026/07/28 10:22:44.553, 44.57, 0, 0, 32
2026/07/28 10:22:45.581, 44.65, 0, 0, 32
2026/07/28 10:22:46.610, 44.64, 0, 0, 32
2026/07/28 10:22:47.637, 44.66, 0, 0, 32
2026/07/28 10:22:48.664, 44.41, 0, 0, 32
2026/07/28 10:22:49.691, 44.24, 0, 0, 32
2026/07/28 10:22:50.718, 44.61, 0, 0, 32
2026/07/28 10:22:51.744, 44.42, 0, 0, 32
2026/07/28 10:22:52.770, 44.40, 0, 0, 32
2026/07/28 10:22:53.797, 44.43, 0, 0, 32
2026/07/28 10:22:54.824, 44.81, 0, 0, 32
2026/07/28 10:22:55.853, 44.65, 0, 0, 32
2026/07/28 10:22:56.880, 44.80, 0, 0, 32
2026/07/28 10:22:57.906, 44.64, 0, 0, 32
2026/07/28 10:22:58.933, 45.01, 0, 0, 32
2026/07/28 10:22:59.960, 44.64, 0, 0, 32
2026/07/28 10:23:00.987, 44.35, 0, 0, 32
2026/07/28 10:23:02.014, 44.42, 0, 0, 32
2026/07/28 10:23:03.041, 43.89, 0, 0, 32
2026/07/28 10:23:04.069, 44.70, 0, 0, 32
2026/07/28 10:23:05.097, 44.66, 0, 0, 32
2026/07/28 10:23:06.123, 44.36, 0, 0, 32
2026/07/28 10:23:07.151, 44.55, 0, 0, 32
2026/07/28 10:23:08.178, 44.71, 0, 0, 32
2026/07/28 10:23:09.204, 44.69, 0, 0, 32
2026/07/28 10:23:10.231, 45.04, 0, 0, 32
2026/07/28 10:23:11.257, 44.61, 0, 0, 32
2026/07/28 10:23:12.284, 44.62, 0, 0, 32
2026/07/28 10:23:13.311, 44.70, 0, 0, 32
2026/07/28 10:23:14.338, 45.43, 0, 0, 32
2026/07/28 10:23:15.367, 44.64, 0, 0, 32
2026/07/28 10:23:16.394, 44.04, 0, 0, 32
2026/07/28 10:23:17.420, 44.65, 0, 0, 32
2026/07/28 10:23:18.447, 44.75, 0, 0, 32
2026/07/28 10:23:19.473, 44.31, 0, 0, 32
2026/07/28 10:23:20.499, 44.02, 0, 0, 32
2026/07/28 10:23:21.526, 45.59, 0, 0, 32
2026/07/28 10:23:22.553, 44.70, 0, 0, 32
