timestamp,power_draw_W,gpu_util_pct,mem_used_MiB,temperature_C
2026/07/27 07:56:02.355, 42.89, 0, 0, 27
2026/07/27 07:56:03.382, 42.95, 0, 0, 27
2026/07/27 07:56:04.409, 42.80, 0, 0, 27
2026/07/27 07:56:05.435, 43.08, 0, 0, 27
2026/07/27 07:56:06.461, 42.72, 0, 0, 27
2026/07/27 07:56:07.489, 43.48, 0, 0, 27
2026/07/27 07:56:08.515, 42.61, 0, 0, 27
2026/07/27 07:56:09.542, 43.01, 0, 0, 27
2026/07/27 07:56:10.569, 43.28, 0, 0, 27
2026/07/27 07:56:11.596, 42.77, 0, 0, 27
2026/07/27 07:56:12.622, 42.12, 0, 0, 27
2026/07/27 07:56:13.649, 42.81, 0, 0, 27
2026/07/27 07:56:14.677, 43.28, 0, 0, 27
2026/07/27 07:56:15.703, 43.10, 0, 0, 27
2026/07/27 07:56:16.730, 42.95, 0, 0, 27
2026/07/27 07:56:17.757, 43.01, 0, 0, 27
2026/07/27 07:56:18.786, 43.24, 0, 0, 27
2026/07/27 07:56:19.814, 43.02, 0, 0, 27
2026/07/27 07:56:20.840, 43.51, 0, 0, 27
2026/07/27 07:56:21.868, 42.98, 0, 0, 27
2026/07/27 07:56:22.896, 43.07, 0, 0, 27
2026/07/27 07:56:23.923, 43.29, 0, 0, 27
2026/07/27 07:56:24.950, 43.40, 0, 0, 27
2026/07/27 07:56:25.976, 43.18, 0, 0, 27
2026/07/27 07:56:27.003, 42.54, 0, 0, 27
2026/07/27 07:56:28.030, 42.71, 0, 0, 27
2026/07/27 07:56:29.056, 42.89, 0, 0, 27
2026/07/27 07:56:30.084, 42.99, 0, 0, 27
2026/07/27 07:56:31.111, 43.35, 0, 0, 27
2026/07/27 07:56:32.137, 42.99, 0, 0, 27
2026/07/27 07:56:33.163, 43.01, 0, 0, 27
2026/07/27 07:56:34.189, 43.02, 0, 0, 27
2026/07/27 07:56:35.216, 43.08, 0, 0, 27
2026/07/27 07:56:36.243, 43.32, 0, 0, 27
2026/07/27 07:56:37.274, 43.09, 0, 0, 27
2026/07/27 07:56:38.302, 43.09, 0, 0, 27
2026/07/27 07:56:39.329, 42.98, 0, 0, 27
2026/07/27 07:56:40.356, 42.90, 0, 0, 27
2026/07/27 07:56:41.382, 42.19, 0, 0, 27
2026/07/27 07:56:42.409, 43.10, 0, 0, 27
2026/07/27 07:56:43.435, 43.30, 0, 0, 27
2026/07/27 07:56:44.462, 43.01, 0, 0, 27
2026/07/27 07:56:45.489, 43.41, 0, 0, 27
2026/07/27 07:56:46.519, 43.01, 0, 0, 27
2026/07/27 07:56:47.546, 43.01, 0, 0, 27
2026/07/27 07:56:48.573, 43.58, 0, 0, 27
2026/07/27 07:56:49.604, 43.40, 0, 0, 27
2026/07/27 07:56:50.630, 43.59, 0, 0, 27
2026/07/27 07:56:51.657, 43.29, 0, 0, 27
2026/07/27 07:56:52.683, 43.19, 0, 0, 27
2026/07/27 07:56:53.710, 43.39, 0, 0, 27
2026/07/27 07:56:54.737, 43.08, 0, 0, 27
2026/07/27 07:56:55.764, 43.40, 0, 0, 27
2026/07/27 07:56:56.791, 42.79, 0, 0, 27
2026/07/27 07:56:57.819, 43.17, 0, 0, 27
2026/07/27 07:56:58.846, 42.51, 0, 0, 27
2026/07/27 07:56:59.873, 42.99, 0, 0, 27
2026/07/27 07:57:00.900, 42.97, 0, 0, 27
2026/07/27 07:57:01.928, 43.02, 0, 0, 27
2026/07/27 07:57:02.955, 43.09, 0, 0, 27
